n_rows,n_duplicates,std,std_norm,std_abs,std_norm_abs,range,range_abs,mean,mean_abs,mean_norm,mean_norm_abs,mean_per_updates,mean_abs_per_updates,pow_2_mean_abs_per_updates,pow_3_mean_abs_per_updates,pow_4_mean_abs_per_updates,mean_abs_per_sqrt_updates,mean_abs_per_log_updates,mean_norm_per_updates,mean_norm_abs_per_updates
30000,99.66777408637874,13718.45264743805,0.4572817549146016,13691.604316514555,0.4563868105504852,30202,29808,-18205.6,18225.8,-0.6068533333333332,0.6075266666666667,-0.6068533333333332,0.6075266666666667,2.0250888888888887e-05,6.750296296296296e-10,2.2500987654320988e-14,105.22670536196281,1767.9584531976031,-2.022844444444444e-05,2.0250888888888887e-05
30000,297.029702970297,13075.51523229582,0.435850507743194,13075.51523229582,0.435850507743194,29880,29880,-20511.1,20511.1,-0.6837033333333333,0.6837033333333333,-0.6837033333333333,0.6837033333333333,2.279011111111111e-05,7.596703703703703e-10,2.5322345679012343e-14,118.42089106375333,1989.6395565287316,-2.279011111111111e-05,2.279011111111111e-05
30000,967.741935483871,12575.298728459697,0.41917662428198976,12575.298728459697,0.41917662428198976,29216,29216,-22739.7,22739.7,-0.75799,0.75799,-0.75799,0.75799,2.5266333333333336e-05,8.422111111111111e-10,2.8073703703703705e-14,131.28771916291333,2205.8205861019837,-2.5266333333333336e-05,2.5266333333333336e-05
100000,1.0518897198817676,2035.8927746814172,0.3812533285920257,1904.6649337875676,0.35667882655197897,5938,5328,-1104.9,1318.3,-0.20691011235955056,0.24687265917602996,-0.011049000000000002,0.013183,1.3182999999999998e-07,1.3183e-12,1.3183e-17,4.168830639399974,114.50608309861137,-2.069101123595506e-06,2.4687265917602995e-06
100000,1.158453233242974,24486.662577615596,0.24486662577615595,24450.250749429953,0.24450250749429955,100530,99958,-10220.9,10307.7,-0.102209,0.103077,-0.102209,0.103077,1.0307700000000002e-06,1.0307700000000001e-11,1.0307700000000001e-16,32.595809437717605,895.3154462228298,-1.0220899999999999e-06,1.03077e-06
100000,1.5828545198410815,35451.25798557788,0.35451257985577883,35376.19546305114,0.3537619546305114,100468,99986,-18413.8,18557.6,-0.184138,0.18557600000000002,-0.184138,0.185576,1.8557599999999998e-06,1.85576e-11,1.8557599999999998e-16,58.68428390634071,1611.8926554735572,-1.84138e-06,1.8557600000000003e-06
100000,3.1662603299243264,42683.71762206286,0.42683717622062867,42653.324417212774,0.4265332441721278,100208,99964,-25402.6,25453.6,-0.254026,0.254536,-0.254026,0.254536,2.54536e-06,2.5453599999999997e-11,2.5453599999999997e-16,80.49135065086185,2210.871604914522,-2.54026e-06,2.54536e-06
100000,9.99900009999,44526.683305519175,0.44526683305519177,44489.09257008958,0.4448909257008958,100318,99994,-35423.1,35470.3,-0.354231,0.35470300000000005,-0.35423099999999996,0.35470300000000005,3.5470300000000005e-06,3.54703e-11,3.5470300000000003e-16,112.16693728947047,3080.911112290583,-3.5423100000000002e-06,3.5470300000000005e-06
100000,29.99400119976005,46919.289173110876,0.46919289173110884,46916.1673987763,0.46916167398776293,100034,99988,-43076.7,43080.1,-0.430767,0.43080099999999993,-0.43076699999999996,0.430801,4.30801e-06,4.30801e-11,4.30801e-16,136.23123782781977,3741.8899419680556,-4.30767e-06,4.308009999999999e-06
100000,99.9000999000999,49333.524676329376,0.49333524676329377,49333.524676329376,0.49333524676329377,99718,99718,-50671.1,50671.1,-0.506711,0.506711,-0.506711,0.506711,5.06711e-06,5.06711e-11,5.06711e-16,160.23608754615796,4401.235824393572,-5.06711e-06,5.06711e-06
100000,299.4011976047904,45372.780687434184,0.4537278068743418,45372.780687434184,0.4537278068743418,99934,99934,-60187.3,60187.3,-0.601873,0.601873,-0.601873,0.601873,6.01873e-06,6.01873e-11,6.01873e-16,190.3289542158523,5227.802454131118,-6.01873e-06,6.01873e-06
100000,990.0990099009902,43455.80045459985,0.4345580045459984,43455.80045459985,0.4345580045459984,98846,98846,-68454.5,68454.5,-0.684545,0.684545,-0.684545,0.684545,6.84545e-06,6.84545e-11,6.84545e-16,216.4721360879963,5945.882322289231,-6.84545e-06,6.84545e-06
300000,1.0505047675408035,4859.076104569674,0.323334848587282,4799.525988053404,0.3193722376931996,15832,15024,-2629.1,2736.3,-0.17494676603673143,0.1820801171147192,-0.008763666666666666,0.009121,3.0403333333333334e-08,1.0134444444444446e-13,3.3781481481481486e-19,4.99577744700462,216.96799022074825,-5.831558867891047e-07,6.069337237157307e-07
300000,1.1579300841815172,5685.882702799979,0.3911586889653261,5503.655929470882,0.3786224497434564,16062,14522,-3380.7,3669.9,-0.23257429829389104,0.25246973032471104,-0.011269,0.012233,4.0776666666666666e-08,1.3592222222222222e-13,4.530740740740741e-19,6.700290045960696,290.99544176849173,-7.752476609796368e-07,8.415657677490368e-07
300000,1.5797039634772443,78585.34088772537,0.2619511362924179,78521.2552189533,0.261737517396511,300514,299982,-32109.4,32265.8,-0.10703133333333334,0.10755266666666667,-0.10703133333333334,0.10755266666666666,3.5850888888888886e-07,1.1950296296296295e-12,3.983432098765432e-18,58.909021653167294,2558.435032293469,-3.567711111111111e-07,3.585088888888889e-07
